plk3,p53
cdc5,cdc14
plk3,cdc25c
edr1,mkk4
cftr,aqp4
sf-1,sp1
bre1,npl3
evi1,brg1
nkx3.1,srf
vgl-4,tef-1
nbs1,wrn
ifitm3,opn
tip27,tak1
ubc9,tel
aktip,pcna
yy1,ar
aebp1,pten
rtr,n-cor
ing4,p65
tfiis,pol
pten,akt
card8,nod2
net,phd2
p53,hbub1
foxk1,fhl2
hnrnph1,ar
mpp8,prc1
wwox,klf5
hsp70,pges
rab4,cftr
p53,klf17
dna-pkcs,plk1
tis11b,mr
gcn5,cdk5
sesn1,foxh1
pml,p53
hecw2,amotl1
caii,nhe1
hdlg,mek2
p53,hbo1
parp-1,sp1
gemin3,smn
bcl6,smad3
cop1,gbf1
wwp2,pten
acy1,sphk1
klf4,stat3
cox5b,mavs
grg3,nkx2.2
smad3,axin
stat3,cd44
prrxl1,pin1
kdm5d,ar
brca1,csb
gi,gs
lace1,p53
ogg1,rho
skap,mis13
tax,tak1
deltaef1,srf
akt,rac1
smurf1,nedd8
pml,mtor
pirh2,p53
bin1,myc
sir2alpha,p53
esc2,ubc9
cbp,an
d1,p300
prdm14,tet1
ip3r,cx43
nub1,trf1
siva1,arf
b23,pes1
klf4,smad1
skp2,runx2
cited4,all
kif18a,bubr1
arid2,e2f1
pml,c-jun
tab2,tax
lrat,crbp
smurf1,mekk2
tag-1,caspr2
errgamma,runx2
hdac3,tbx5
atg1,tor
nbs1,brca1
pkd1,trpp2
cop1,co
cdk2,sox2
tdp-43,futsch
pcaf,nfatc1
timeless,parp-1
ii,ago4
csda,egr1
hsp70,o-glcnac
nrf1,ar
dnajb9,p53
tip60,pax6
c5l2,c5ar
usp7,xpc
fhit,a4
tblr1,ar
itk,tfii-i
zbtb7a,sox9
afp,xiap
bromi,cell
xlg2,all
rnf8,tpp1
stimate,stim1
tcr,its
sfrp1,wnt5a
sp1,boris
h2b,ips-1
fxr,err
irf-1,redd2
nedd4-1,mdm2
fbp1,skp1
myh,all
evi-1,suv39h1
pkr,stat3
yy1,aid
cnk,raf
chfr,p65
wt1,tet2
nqo1,p53
relb,ahr
nedd4-1,akt
orc2,orc1
taz,myod
1a,cftr
trps1,runx2
uch-l3,smad1
c-myc,smad2
irf-8,traf6
carm1,nf-kappab
rnf168,lsd1
dapk,pkd
apc,parp-1
faf1,nf-kappab
tak1,nik
mien1,anxa2
btk,asc
p53,bcl-2
cf5,atm
prc1,clasp1
tip60,myod
pc2,ip3r
gbf1,c/ebp-beta
cyld,tax
jun,bcl6
lats1,cdc25b
p14arf,ar
sox6,armadillo
ttg2,ttg1
nova1,ago
mtgr1,neurog2
cabin1,p53
smg7,mdm2
zic2,smad2
lrs,vps34
smad4,gli1
cmc2,cmc1
pirh2,p53
cx43,cdo
gab2,shp2
lrig1,trkb
tram,myd88
mta3,bcl6
grim-19,htra2
hsph1,c-myc
big2,flna
nod2,trim27
sost,lrp5
mafa,smad2
meis2,pax3
zeb1,ar
znrf1,cav1
dlx3,gcm1
rufy3,foxk1
